	city	lat	long	color
87	scharendijke	51.73624705	3.8512761733802	rgb(253,174,97)
88	emmen	52.788937	6.893900099999999	rgb(215,48,39)
89	almelo	52.3567956	6.6672527763410905	rgb(253,174,97)
90	de wilp	53.11450505	6.264640220960491	rgb(166,217,106)
91	de goorn	52.63248965	4.94461719416219	rgb(220,220,220)
92	loosdrecht	52.20259925	5.0905628807854	rgb(254,224,139)
93	tilligte	52.40867485	6.949716357562162	rgb(166,217,106)
94	papendrecht	51.83482915	4.7047943772019405	rgb(166,217,106)
95	houten	52.03061555	5.161216639426678	rgb(215,48,39)
96	kootstertille	53.2073608	6.0971417	rgb(215,48,39)
97	gouda	52.01811935	4.7111221346978	rgb(18,106,56)
98	de weere	52.730035	4.99338	rgb(215,48,39)
99	sneek	53.0291365	5.6573946859869695	rgb(18,106,56)
100	hellevoetsluis	51.8433004	4.12103806215415	rgb(220,220,220)
101	ijmuiden	52.45420105	4.578006038465031	rgb(215,48,39)
102	kloosterhasr			rgb(215,48,39)
103	best	51.510017	5.3986619900564685	rgb(220,220,220)
104	zuidwolde	52.65971195	6.423019653406532	rgb(215,48,39)
105	giessenburg	51.8602158	4.8796274847546695	rgb(166,217,106)
106	schelluinen	51.85158525	4.93232037754451	rgb(166,217,106)
107	krimpen aan den ijssel	51.9166979	4.6083698725642686	rgb(18,106,56)
108	zwaag	52.66908095	5.06414627136465	rgb(215,48,39)
109	schiedam	51.9300454	4.3864510526157305	rgb(215,48,39)
110	delft	51.9994572	4.362724538544	rgb(215,48,39)
111	den helder	52.9529894	4.8267591994488	rgb(215,48,39)
112	oudeschoot	52.9355175	5.96767690728671	rgb(215,48,39)
113	bovenkarspel	52.69707515	5.24634392694949	rgb(253,174,97)
114	hoofddorp	52.3005585	4.67532055295702	rgb(253,174,97)
115	duiven	51.94964829999999	6.0245762	rgb(244,109,67)
116	schoonhoven	51.95458060000001	4.85051029828741	rgb(253,174,97)
117	groningen	53.22179250000001	6.5582453347985314	rgb(215,48,39)
118	oldeberkoop	52.94128795	6.133273116616111	rgb(220,220,220)
119	heerenveen	52.9567361	5.933267875126821	rgb(253,174,97)
120	hooglanderveen	52.1876688	5.4323119	rgb(215,48,39)
121	rheden	52.0043836	6.030280599999998	rgb(166,217,106)
122	musselkanaal	52.9486301	7.004787193323422	rgb(254,224,139)
123	heemskerk	52.51011775	4.63506088707317	rgb(217,239,139)
124	middelburg	51.4997302	3.6136962	rgb(253,174,97)
125	voorburg	52.07443055	4.35815570096498	rgb(254,224,139)
126	noord-holland	52.7212825	4.820665	rgb(166,217,106)
127	doetinchem	51.9655192	6.2891093	rgb(244,109,67)
